,param_name,Mean,SE_Naive,2.50%,97.50%,ci_width,ci_cross_zero,det_or_occ,b
1,oak_prop,5.6,0.0,2.2,9.3,7.1,no,occupancy,b03
2,live_basal_area,4.3,0.0,0.8,8.5,7.7,no,occupancy,b02
3,prop_forest_in_10km,2.5,0.0,-0.2,5.6,5.8,yes,occupancy,b07
4,canopy_closure,1.5,0.0,-2.9,6.5,9.4,yes,occupancy,b04
5,prop_forest_in_1km,1.3,0.0,-2.0,4.8,6.8,yes,occupancy,b06
6,observer,1.1,0.0,0.7,1.4,0.7,no,detection,b12
7,shrub_density,0.4,0.0,-2.8,3.0,5.8,yes,occupancy,b05
8,mins_past_sr_squared,-0.3,0.0,-0.8,0.3,1.1,yes,detection,b09
9,julian_day,0.2,0.0,-3.9,3.8,7.7,yes,detection,b10
10,minutes_past_sunrise,-0.1,0.0,-0.7,0.5,1.1,yes,detection,b08
11,julian_day_squared,0.1,0.0,-3.6,4.1,7.7,yes,detection,b11
12,intercept,0.1,0.0,-2.6,2.8,5.4,yes,intercept,b00
13,tree_spp_richness,0.0,0.0,-2.8,3.4,6.3,yes,occupancy,b01
